               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  93,            0.030005,            0.012538,           0.0052763,             0.96835,             0.98217,             0.99417,             0.81872,            0.011341,           0.0029093,           0.0017288,            0.003928,            0.003928,            0.003928
                  94,            0.027586,            0.011745,           0.0083206,             0.97986,             0.97856,             0.99457,             0.82131,            0.013861,           0.0028918,           0.0015486,            0.003862,            0.003862,            0.003862
                  95,            0.026852,            0.012879,           0.0052463,             0.99418,                   1,               0.995,             0.85608,            0.011129,           0.0027183,           0.0011426,            0.003796,            0.003796,            0.003796
                  96,            0.028094,            0.012722,           0.0060009,             0.99364,                   1,               0.995,             0.82308,            0.014492,           0.0027949,           0.0011189,             0.00373,             0.00373,             0.00373
                  97,            0.028314,            0.013041,           0.0057446,             0.99414,                   1,               0.995,             0.85106,            0.012521,           0.0029648,           0.0011257,            0.003664,            0.003664,            0.003664
                  98,            0.026161,            0.011349,           0.0037322,             0.99461,                   1,               0.995,             0.80051,            0.012882,           0.0030012,           0.0011382,            0.003598,            0.003598,            0.003598
                  99,            0.028277,            0.013866,           0.0052949,             0.99508,                   1,               0.995,             0.82557,            0.012582,           0.0028897,           0.0011464,            0.003532,            0.003532,            0.003532
                 100,            0.027264,            0.013209,           0.0061489,             0.99431,                   1,               0.995,             0.85216,            0.010655,            0.002868,            0.001098,            0.003466,            0.003466,            0.003466
                 101,            0.024106,            0.013917,           0.0055704,             0.99438,                   1,               0.995,             0.82407,            0.011043,           0.0027818,           0.0010594,              0.0034,              0.0034,              0.0034
                 102,            0.026208,             0.01281,           0.0084156,             0.99491,                   1,               0.995,             0.84657,           0.0099151,           0.0027363,           0.0010404,            0.003334,            0.003334,            0.003334
                 103,            0.024218,            0.011195,           0.0043589,             0.99585,                   1,               0.995,             0.83433,            0.011223,           0.0027282,           0.0010452,            0.003268,            0.003268,            0.003268
                 104,            0.025675,            0.012335,           0.0037616,             0.99572,                   1,               0.995,             0.82499,            0.010487,            0.002628,            0.001072,            0.003202,            0.003202,            0.003202
                 105,            0.025593,            0.013407,            0.007161,             0.99564,                   1,               0.995,             0.82108,            0.011133,            0.002598,           0.0010518,            0.003136,            0.003136,            0.003136
                 106,            0.026984,            0.012932,           0.0074431,             0.99574,                   1,               0.995,             0.85809,            0.013694,            0.002646,           0.0010626,             0.00307,             0.00307,             0.00307
                 107,             0.02472,            0.012851,           0.0095114,             0.99497,                   1,               0.995,             0.82847,            0.010446,           0.0026837,           0.0010739,            0.003004,            0.003004,            0.003004
                 108,            0.025426,            0.011937,           0.0051866,             0.99532,                   1,               0.995,             0.83203,            0.012428,           0.0026601,           0.0010821,            0.002938,            0.002938,            0.002938
                 109,            0.024024,            0.011221,           0.0034524,             0.99486,                   1,               0.995,             0.85037,            0.010785,           0.0026607,           0.0011001,            0.002872,            0.002872,            0.002872
                 110,            0.027566,            0.011015,           0.0065132,             0.99465,                   1,               0.995,             0.82269,            0.011168,            0.002658,           0.0011134,            0.002806,            0.002806,            0.002806
                 111,            0.024749,            0.011744,            0.005384,             0.99454,                   1,               0.995,             0.86553,            0.010236,           0.0026367,           0.0010693,             0.00274,             0.00274,             0.00274
                 112,            0.024978,            0.011965,            0.007735,             0.99485,                   1,               0.995,             0.85257,           0.0098411,           0.0026197,           0.0010398,            0.002674,            0.002674,            0.002674
                 113,            0.023138,            0.011402,           0.0077116,             0.99543,                   1,               0.995,             0.85708,            0.009956,           0.0025716,           0.0010248,            0.002608,            0.002608,            0.002608
                 114,            0.023794,            0.010801,           0.0057209,             0.99482,             0.99922,               0.995,             0.85645,           0.0098673,           0.0025671,           0.0010204,            0.002542,            0.002542,            0.002542
